Name,Benefits,Consumption Methods,How to Eat
Amaranth,Rich in protein fiber iron and calcium Supports heart health and digestion,Boiled Stir-fried Used in soups and salads,Cook the leaves or seeds before eating
Apple,High in fiber and antioxidants Supports heart health and weight management,Raw Juice Baked,Cut into slices or eat whole
Apricot,Good for skin and eye health Rich in vitamins A and C,Raw Dried Jam,Eat fresh or dried remove the seed
Asparagus,Supports digestion and bone health Rich in vitamins A C and K,Steamed Grilled Roasted,Trim the woody ends and cook before eating
Avocado,Rich in healthy fats and fiber Supports heart health and brain function,Raw Mashed Spread,Slice and eat fresh or mash for spreads
Banana,High in potassium and fiber Supports digestion and heart health,Raw Smoothies Baked,Peel and eat fresh or blend into smoothies
Beans,Good source of protein and fiber Supports muscle growth and digestion,Boiled Steamed Stir-fried,Cook before eating for better digestion
Beetroot,Supports blood pressure and liver health Rich in iron and folate,Raw Juice Boiled,Slice or grate raw cook for a sweeter taste
Bell Pepper,Rich in vitamin C and antioxidants Supports immune health and skin,Raw Grilled Roasted,Slice and eat fresh or cook for a sweeter taste
Bitter Gourd,Helps regulate blood sugar Rich in vitamins C and A,Juice Stir-fried Boiled,Remove seeds and cook before eating
Black Berry,Rich in antioxidants and vitamins Supports brain health and digestion,Raw Juice Jam,Eat fresh or blend into juice
Black Currant,Supports immune health and skin Rich in vitamin C and antioxidants,Raw Juice Dried,Eat fresh or dried use in juices
Blueberry,Boosts brain function and heart health Rich in antioxidants,Raw Smoothies Baked,Eat fresh or add to desserts
Bottle Gourd,Good for digestion and hydration Rich in fiber and water,Juice Curry Stir-fried,Peel and cook before eating
Brinjal,Rich in fiber and antioxidants Supports heart health and digestion,Grilled Roasted Stir-fried,Cook before eating
Broccoli,Supports immune health and digestion Rich in vitamins C and K,Steamed Stir-fried Boiled,Cook lightly to retain nutrients
Cabbage,Supports digestion and heart health Rich in fiber and vitamin C,Raw Stir-fried Boiled,Eat raw in salads or cook lightly
Capsicum,Rich in vitamin C and antioxidants Supports skin and immune health,Raw Stir-fried Grilled,Eat fresh or cook for a sweeter taste
Carrot,Good for eye health and digestion Rich in beta-carotene,Raw Juice Boiled,Eat fresh or cook for a softer texture
Cashew,Rich in healthy fats and protein Supports brain and heart health,Raw Roasted Used in dishes,Eat as a snack or add to dishes
Cauliflower,Supports digestion and immune health Rich in fiber and vitamin C,Boiled Roasted Stir-fried,Cook before eating for better digestion
Chikoo,Rich in fiber and vitamins Supports digestion and energy,Raw Smoothies Dessert,Eat fresh after peeling
Chilli,Boosts metabolism and digestion Rich in vitamins A and C,Raw Cooked Pickled,Use in dishes for spice
Coconut,Supports hydration and brain health Rich in healthy fats,Raw Water Milk,Eat fresh drink coconut water
Corn,Good for digestion and energy Rich in fiber and antioxidants,Boiled Roasted Grilled,Eat cooked or roasted
Cranberry,Supports urinary tract health Rich in antioxidants,Raw Juice Dried,Eat fresh dried or in juice
Cucumber,Good for hydration and skin health Rich in water and fiber,Raw Juice Salad,Eat fresh or add to salads
Custard Apple,Supports immune health and digestion Rich in vitamins and fiber,Raw Smoothies Dessert,Eat fresh after peeling
Dates,Rich in fiber and energy Supports digestion and heart health,Raw Dried Used in sweets,Eat dried or use in dishes
Dragon Fruit,Supports skin and immune health Rich in antioxidants,Raw Smoothies Dessert,Scoop and eat fresh
Elderberry,Boosts immune system and heart health Rich in antioxidants,Cooked Syrup Juice,Consume cooked or as syrup
Fig,Good for digestion and bone health Rich in fiber and calcium,Raw Dried Used in dishes,Eat fresh or dried
Garlic,Supports immune health and heart health Rich in allicin,Raw Cooked Used in dishes,Eat raw or cook for milder taste
Ginger,Supports digestion and immunity Rich in antioxidants,Raw Tea Cooked,Use fresh dried or as a tea
Gooseberry,Boosts immunity and skin health Rich in vitamin C,Raw Juice Pickled,Eat fresh drink juice
Grapes,Supports heart and skin health Rich in antioxidants,Raw Juice Dried,Eat fresh dried or in juice
Guava,Rich in vitamin C and fiber Supports digestion and immunity,Raw Juice Smoothies,Eat fresh with skin
Jackfruit,Good source of fiber and vitamins Supports digestion and energy,Raw Cooked Used in dishes,Eat ripe raw or cook unripe
Kiwi,Boosts immunity and digestion Rich in vitamin C,Raw Juice Smoothies,Eat fresh with or without skin
Lemon,Supports digestion and hydration Rich in vitamin C,Raw Juice Used in dishes,Use juice or zest in food
Lettuce,Supports hydration and digestion Rich in fiber and water,Raw Salad Used in sandwiches,Eat fresh in salads
Litchi,Rich in vitamin C and antioxidants Supports immunity,Raw Juice Used in desserts,Eat fresh after peeling
Longan,Boosts immunity and skin health Rich in vitamin C,Raw Dried Used in dishes,Eat fresh or dried
Mango,Rich in vitamin A and fiber Supports digestion and skin health,Raw Juice Used in desserts,Eat fresh or blend into juice
Mushroom,Supports immune and brain health Rich in protein and antioxidants,Cooked Stir-fried Used in soups,Cook before eating
Muskmelon,Good for hydration and digestion Rich in water and fiber,Raw Juice Smoothies,Eat fresh or blend into juice
Okra,Supports digestion and heart health Rich in fiber and vitamins,Cooked Stir-fried Used in curries,Cook before eating
Olive,Rich in healthy fats and antioxidants Supports heart health,Raw Oil Pickled,Eat fresh use oil in cooking
Onion,Supports immune health and digestion Rich in antioxidants,Raw Cooked Used in dishes,Eat fresh or cook for milder taste
Orange,Rich in vitamin C and antioxidants Supports immune health and skin,Raw Juice Used in desserts,Eat fresh or blend into juice
Papaya,Good for digestion and skin health Rich in fiber and vitamin C,Raw Juice Smoothies,Eat fresh or blend into juice
Peach,Supports digestion and skin health Rich in vitamins A and C,Raw Juice Used in desserts,Eat fresh or blend into juice
Pear,Rich in fiber and vitamin C Supports digestion and immunity,Raw Juice Used in desserts,Eat fresh or blend into juice
Peas,Good source of protein and fiber Supports digestion and muscle health,Boiled Stir-fried Used in dishes,Cook before eating
Pineapple,Supports digestion and immune health Rich in vitamin C,Raw Juice Used in dishes,Eat fresh or blend into juice
Plum,Rich in antioxidants and fiber Supports digestion and skin health,Raw Dried Used in desserts,Eat fresh or dried
Pomegranate,Boosts immunity and heart health Rich in antioxidants,Raw Juice Used in dishes,Eat fresh or blend into juice
Potato,Supports energy and digestion Rich in fiber and potassium,Boiled Baked Fried,Cook before eating
Pumpkin,Good for eye health and digestion Rich in beta-carotene,Boiled Roasted Used in dishes,Cook before eating
Radish,Supports digestion and immune health Rich in fiber and vitamins,Raw Cooked Used in salads,Eat fresh or cook for milder taste
Raspberry,Rich in antioxidants and vitamins Supports brain health,Raw Juice Used in desserts,Eat fresh or blend into juice
Spinach,Supports immune health and digestion Rich in iron and vitamins,Raw Cooked Used in dishes,Eat fresh or cook lightly
Strawberry,Boosts immunity and heart health Rich in antioxidants,Raw Juice Used in desserts,Eat fresh or blend into juice
Sweet Potato,Supports digestion and energy Rich in fiber and vitamins,Boiled Baked Used in dishes,Cook before eating
Tamarind,Supports digestion and skin health Rich in antioxidants,Raw Paste Used in dishes,Use paste in cooking
Tomato,Rich in antioxidants and vitamins Supports heart health,Raw Cooked Used in dishes,Eat fresh or cook for a richer taste
Watermelon,Good for hydration and digestion Rich in water and vitamins,Raw Juice Used in salads,Eat fresh or blend into juice
Grape,Rich in antioxidants and vitamin C Supports heart health,Raw Juice Dried,Eat fresh or dried use in juice
Cherry,Supports heart health and sleep Rich in antioxidants,Raw Juice Used in desserts,Eat fresh or blend into juice
Lime,Rich in vitamin C and antioxidants Boosts immunity,Raw Juice Used in salads,Eat fresh or squeeze into juice
Tangerine,Rich in vitamin C and fiber Supports immune and digestive health,Raw Juice Used in desserts,Peel and eat fresh
Clementine,Supports immune health and skin Rich in vitamin C,Raw Juice Used in salads,Peel and eat fresh
Nectarine,Supports digestion and skin health Rich in vitamins A and C,Raw Juice Used in desserts,Eat fresh or blend into juice
Blackberry,Rich in antioxidants and fiber Supports brain and heart health,Raw Juice Used in desserts,Eat fresh or blend into juice
Mulberry,Rich in iron and vitamin C Supports blood circulation and immunity,Raw Juice Dried,Eat fresh or dried use in juice
Boysenberry,Rich in fiber and antioxidants Supports digestion and heart health,Raw Juice Used in desserts,Eat fresh or blend into juice
Red Currant,Supports immune and skin health Rich in vitamin C,Raw Juice Used in desserts,Eat fresh or blend into juice
White Currant,Rich in vitamin C and antioxidants Supports immunity and skin,Raw Juice Used in desserts,Eat fresh or blend into juice
Marionberry,Supports brain and heart health Rich in antioxidants,Raw Juice Used in desserts,Eat fresh or blend into juice
Cloudberry,High in vitamin C and antioxidants Supports immune and skin health,Raw Juice Used in desserts,Eat fresh or blend into juice
Salmonberry,Rich in antioxidants and fiber Supports digestion and heart health,Raw Juice Used in desserts,Eat fresh or blend into juice
Huckleberry,Supports brain and eye health Rich in antioxidants,Raw Juice Used in desserts,Eat fresh or blend into juice
Serviceberry,Supports heart health and digestion Rich in fiber,Raw Juice Dried,Eat fresh or dried use in juice
Chokeberry,High in antioxidants and vitamin C Supports immune health,Raw Juice Used in supplements,Eat fresh or blend into juice
Barberry,Supports digestion and immunity Rich in vitamin C,Raw Juice Used in herbal medicine,Eat fresh or blend into juice
Bilberry,Boosts eye health and circulation Rich in antioxidants,Raw Juice Used in supplements,Eat fresh or blend into juice
Lingonberry,Rich in antioxidants and vitamin C Supports immune health,Raw Juice Used in desserts,Eat fresh or blend into juice
Lychee,Rich in vitamin C and antioxidants Supports immunity,Raw Juice Used in desserts,Eat fresh after peeling
Rambutan,Rich in iron and vitamin C Supports blood and immune health,Raw Juice Used in desserts,Eat fresh after peeling
Passion Fruit,Rich in fiber and vitamin C Supports digestion and immunity,Raw Juice Used in desserts,Eat fresh or blend into juice
Starfruit,Rich in vitamin C and fiber Supports digestion and immunity,Raw Juice Used in salads,Eat fresh or blend into juice
Mangosteen,Rich in antioxidants and vitamin C Supports skin and immune health,Raw Juice Used in desserts,Eat fresh after peeling
Durian,Rich in fiber and healthy fats Supports digestion and energy,Raw Used in desserts,Eat fresh after peeling
Salak,Rich in fiber and antioxidants Supports digestion and brain health,Raw Used in salads,Eat fresh after peeling
Feijoa,Good for digestion and immune health Rich in vitamin C and fiber,Raw Juice Used in desserts,Eat fresh or blend into juice
Sapodilla,Rich in fiber and vitamins Supports digestion and energy,Raw Smoothies Dessert,Eat fresh after peeling
Tamarillo,Rich in vitamins A C and E Supports skin and vision health,Raw Juice Used in salads,Eat fresh or blend into juice
Rose Apple,Supports hydration and digestion Rich in fiber and water,Raw Juice Used in desserts,Eat fresh or blend into juice
Santol,Rich in fiber and vitamin C Supports digestion and immunity,Raw Juice Used in herbal medicine,Eat fresh or blend into juice
Cupuacu,Rich in antioxidants and healthy fats Supports skin and brain health,Raw Juice Used in chocolate,Eat fresh or blend into desserts
